Year,Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
2015,Morocco,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172
2015,Albania,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272
2015,Bosnia and Herzegovina,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808
2015,Dominican Republic,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684
2015,Mongolia,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323
2015,Greece,1.15406,0.92933,0.88213,0.07699,0.01397,0
2015,Lebanon,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854
2015,Hungary,1.12094,1.20215,0.75905,0.32112,0.02758,0.128
2015,Honduras,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027
2015,Tajikistan,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974
2015,Tunisia,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431
2015,Palestinian Territories,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251
2015,Bangladesh,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222
2015,Iran,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086
2015,Ukraine,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275
2015,Iraq,0.98549,0.81889,0.60237,0,0.13788,0.17922
2015,South Africa,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973
2015,Ghana,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087
2015,Zimbabwe,0.271,1.03276,0.33475,0.25861,0.08079,0.18987
2015,Liberia,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362
2015,India,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475
2015,Haiti,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187
2015,Congo (Kinshasa),0,1.0012,0.09806,0.22605,0.07625,0.24834
2015,Nepal,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296
2015,Ethiopia,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325
2015,Sierra Leone,0.33024,0.95571,0,0.4084,0.08786,0.21488
2015,Mauritania,0.45407,0.86908,0.35874,0.24232,0.17461,0.219
2015,Kenya,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542
2015,Armenia,0.76821,0.77711,0.7299,0.19847,0.039,0.07855
2015,Botswana,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461
2015,Myanmar,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588
2015,Georgia,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547
2015,Malawi,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128
2015,Sri Lanka,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828
2015,Cameroon,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618
2015,Bulgaria,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921
2015,Egypt,0.8818,0.747,0.61712,0.17288,0.06324,0.11291
2015,Yemen,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131
2015,Mali,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798
2015,Congo (Brazzaville),0.67866,0.6629,0.31051,0.41466,0.11686,0.12388
2015,Uganda,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066
2015,Senegal,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843
2015,Gabon,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822
2015,Niger,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387
2015,Cambodia,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359
2015,Tanzania,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377
2015,Madagascar,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333
2015,Chad,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386
2015,Guinea,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657
2015,Ivory Coast,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165
2015,Burkina Faso,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747
2015,Afghanistan,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
2015,Rwanda,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628
2015,Benin,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
2015,Syria,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179
2015,Burundi,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727
2015,Togo,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681
2015,World Average,0.867198951,1.001304755,0.652983287,0.431457832,0.14166021,0.237074336
2016,Denmark,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171
2016,Switzerland,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083
2016,Iceland,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678
2016,Norway,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
2016,Finland,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492
2016,Canada,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834
2016,Netherlands,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416
2016,New Zealand,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401
2016,Australia,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407
2016,Sweden,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
2016,Israel,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288
2016,Austria,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865
2016,United States,1.50796,1.04782,0.779,0.48163,0.14868,0.41077
2016,Costa Rica,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553
2016,Germany,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452
2016,Brazil,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776
2016,Belgium,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424
2016,Ireland,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963
2016,Luxembourg,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571
2016,Mexico,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735
2016,Singapore,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706
2016,United Kingdom,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156
2016,Chile,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595
2016,Panama,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418
2016,Argentina,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989
2016,Czech Republic,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929
2016,United Arab Emirates,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591
2016,Uruguay,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056
2016,Malta,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237
2016,Colombia,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626
2016,France,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216
2016,Thailand,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696
2016,Saudi Arabia,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457
2016,Taiwan,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495
2016,Qatar,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388
2016,Spain,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665
2016,Algeria,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044
2016,Guatemala,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808
2016,Kuwait,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965
2016,Bahrain,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147
2016,Venezuela,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425
2016,Slovakia,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837
2016,El Salvador,0.8737,0.80975,0.596,0.37269,0.10613,0.08877
2016,Malaysia,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474
2016,Nicaragua,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773
2016,Uzbekistan,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326
2016,Italy,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684
2016,Ecuador,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074
2016,Japan,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224
2016,Kazakhstan,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011
2016,Moldova,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997
2016,Russia,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736
2016,Poland,1.24585,1.04685,0.69058,0.4519,0.055,0.14443
2016,South Korea,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824
2016,Bolivia,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698
2016,Lithuania,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025
2016,Belarus,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942
2016,Slovenia,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738
2016,Peru,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527
2016,Turkmenistan,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567
2016,Mauritius,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951
2016,Libya,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087
2016,Latvia,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445
2016,Cyprus,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906
2016,Paraguay,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296
2016,Romania,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889
2016,Estonia,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423
2016,Jamaica,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245
2016,Croatia,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434
2016,Hong Kong,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097
2016,Kosovo,0.90145,0.66062,0.54,0.14396,0.06547,0.27992
2016,Turkey,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707
2016,Indonesia,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521
2016,Jordan,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262
2016,Azerbaijan,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564
2016,Philippines,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674
2016,China,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959
2016,Bhutan,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546
2016,Kyrgyzstan,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432
2016,Serbia,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737
2016,Bosnia and Herzegovina,0.93383,0.64367,0.70766,0.09511,0,0.29889
2016,Montenegro,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191
2016,Dominican Republic,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286
2016,Morocco,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053
2016,Hungary,1.24142,0.93164,0.67608,0.1977,0.04472,0.099
2016,Pakistan,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185
2016,Lebanon,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693
2016,Portugal,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691
2016,Vietnam,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075
2016,Tunisia,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936
2016,Greece,1.24886,0.75473,0.80029,0.05822,0.04127,0
2016,Tajikistan,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998
2016,Mongolia,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539
2016,Nigeria,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219
2016,Honduras,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044
2016,Iran,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538
2016,Zambia,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866
2016,Nepal,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816
2016,Palestinian Territories,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154
2016,Albania,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
2016,Bangladesh,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132
2016,Sierra Leone,0.36485,0.628,0,0.30685,0.08196,0.23897
2016,Iraq,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589
2016,Cameroon,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268
2016,Ethiopia,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522
2016,South Africa,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656
2016,Sri Lanka,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978
2016,India,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028
2016,Myanmar,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971
2016,Egypt,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706
2016,Armenia,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793
2016,Kenya,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328
2016,Ukraine,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363
2016,Ghana,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203
2016,Congo (Kinshasa),0.05661,0.80676,0.188,0.15602,0.06075,0.25458
2016,Georgia,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786
2016,Congo (Brazzaville),0.77109,0.47799,0.28212,0.37938,0.09753,0.12077
2016,Senegal,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103
2016,Bulgaria,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793
2016,Mauritania,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686
2016,Zimbabwe,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503
2016,Malawi,0.08709,0.147,0.29364,0.4143,0.07564,0.30968
2016,Gabon,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244
2016,Mali,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064
2016,Haiti,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958
2016,Botswana,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425
2016,Ivory Coast,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338
2016,Cambodia,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339
2016,Niger,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097
2016,Chad,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667
2016,Burkina Faso,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353
2016,Uganda,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102
2016,Yemen,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821
2016,Madagascar,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204
2016,Tanzania,0.47155,0.77623,0.357,0.3176,0.05099,0.31472
2016,Liberia,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063
2016,Guinea,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914
2016,Rwanda,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552
2016,Benin,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018
2016,Afghanistan,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268
2016,Togo,0.28123,0,0.24811,0.34678,0.11587,0.17517
2016,Syria,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397
2016,Burundi,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029
2016,World Average,0.97031014,0.803121888,0.57208028,0.372185035,0.13631951,0.242039021
2017,Norway,1.616463184,1.53352356,0.796666503,0.635422587,0.315963835,0.362012237
2017,Denmark,1.482383013,1.551121593,0.792565525,0.626006722,0.400770068,0.355280489
2017,Iceland,1.48063302,1.610574007,0.833552122,0.627162635,0.153526559,0.475540221
2017,Switzerland,1.564979553,1.516911745,0.858131289,0.620070577,0.367007285,0.290549278
2017,Finland,1.443571925,1.540246725,0.80915767,0.617950857,0.382611543,0.245482773
2017,Netherlands,1.503944635,1.428939223,0.810696125,0.585384488,0.282661825,0.47048983
2017,Canada,1.479204416,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722
2017,New Zealand,1.405706048,1.548195124,0.816759706,0.61406213,0.382816702,0.500005126
2017,Sweden,1.494387269,1.478162169,0.830875158,0.612924099,0.384398729,0.385399252
2017,Australia,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925
2017,Israel,1.375382423,1.376289964,0.838404,0.405988604,0.0852421,0.330082655
2017,Costa Rica,1.109706283,1.416403651,0.759509265,0.58013165,0.100106589,0.214613229
2017,Austria,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322
2017,United States,1.546259284,1.419920564,0.774286628,0.505740523,0.135638788,0.392578781
2017,Ireland,1.535706639,1.558231115,0.809782624,0.573110342,0.298388153,0.427858323
2017,Germany,1.487923384,1.472520351,0.798950732,0.562511384,0.276731938,0.33626917
2017,Belgium,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338
2017,Luxembourg,1.741943598,1.457583666,0.845089495,0.596627891,0.318834424,0.283180982
2017,United Kingdom,1.44163394,1.49646008,0.805335939,0.508190036,0.265428066,0.492774159
2017,Chile,1.25278461,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421
2017,United Arab Emirates,1.626343369,1.266410232,0.726798236,0.60834527,0.324489564,0.360941947
2017,Brazil,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895
2017,Czech Republic,1.352682352,1.433885217,0.754444003,0.490946174,0.036872927,0.088106759
2017,Argentina,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061
2017,Mexico,1.153183818,1.21086216,0.709978998,0.412730008,0.132774115,0.120990433
2017,Singapore,1.69227767,1.353814363,0.949492395,0.549840569,0.464307785,0.345965981
2017,Malta,1.343279839,1.488411665,0.821944237,0.588767052,0.153066069,0.574730575
2017,Uruguay,1.217559695,1.412227869,0.719216824,0.579392254,0.178061873,0.175096929
2017,Guatemala,0.872001946,1.255585194,0.54023999,0.531310618,0.077223279,0.283488393
2017,Panama,1.233748436,1.373192549,0.706156135,0.550026834,0.070983924,0.210556939
2017,France,1.430923462,1.387776852,0.844465852,0.470222116,0.172502428,0.129762307
2017,Thailand,1.127868772,1.425792456,0.647239029,0.580200732,0.031612735,0.57212311
2017,Taiwan,1.433626533,1.384565353,0.793984234,0.361466587,0.063829236,0.258360475
2017,Spain,1.384397864,1.532090902,0.8889606,0.40878123,0.070914097,0.190133572
2017,Qatar,1.870765686,1.27429688,0.710098088,0.604130983,0.439299256,0.33047387
2017,Colombia,1.070622325,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473
2017,Saudi Arabia,1.530623555,1.286677599,0.59014833,0.449750572,0.273432255,0.147616014
2017,Kuwait,1.632952452,1.259698749,0.632105708,0.496337593,0.21515955,0.228289798
2017,Slovakia,1.325393558,1.505059242,0.712732911,0.295817465,0.024210852,0.136544481
2017,Bahrain,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487
2017,Malaysia,1.29121542,1.284646034,0.618784428,0.402264982,0.065600708,0.41660893
2017,Nicaragua,0.737299204,1.28721571,0.653095961,0.447551847,0.130687982,0.301674217
2017,Ecuador,1.000820398,1.286168814,0.685636222,0.455198199,0.140134647,0.150112465
2017,El Salvador,0.909784496,1.182125092,0.596018553,0.43245253,0.08998096,0.078257985
2017,Poland,1.291787863,1.44571197,0.699475348,0.520342112,0.059307806,0.158465967
2017,Uzbekistan,0.786441088,1.54896915,0.498272628,0.658248663,0.246528223,0.415983647
2017,Italy,1.395066619,1.444923282,0.853144348,0.256450713,0.028028091,0.172789648
2017,Russia,1.281778097,1.469282389,0.547349334,0.373783112,0.032962881,0.052263822
2017,Japan,1.416915178,1.436337829,0.913475871,0.505625546,0.163760737,0.120572768
2017,Lithuania,1.314582348,1.473516107,0.62894994,0.234231785,0.011865643,0.010164657
2017,Algeria,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647
2017,Latvia,1.260748625,1.404714942,0.638566971,0.325707912,0.073842727,0.153074786
2017,South Korea,1.401678443,1.128274441,0.900214076,0.257921666,0.063282669,0.206674367
2017,Moldova,0.72887063,1.251825571,0.589465201,0.240729049,0.010091286,0.208779126
2017,Romania,1.217683911,1.15009129,0.685158312,0.457003742,0.004387901,0.133519918
2017,Bolivia,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725
2017,Turkmenistan,1.130776763,1.493149161,0.43772608,0.418271929,0.25927034,0.249924988
2017,Kazakhstan,1.28455627,1.384369016,0.606041551,0.437454283,0.119282886,0.201964423
2017,Slovenia,1.341205955,1.452518821,0.790828228,0.572575808,0.045128979,0.242649093
2017,Peru,1.035225272,1.218770385,0.630166113,0.450002879,0.047049087,0.126819715
2017,Mauritius,1.189395547,1.20956099,0.638007462,0.491247326,0.042181555,0.360933751
2017,Cyprus,1.355938077,1.131363273,0.844714701,0.355111539,0.041237976,0.271254301
